Decade,Very Poor,Poor,Fair,Good,Excellent
1960s,0.0,0.004524886877828055,0.027149321266968326,0.24434389140271492,0.7239819004524887
1970s,0.008522727272727272,0.005681818181818182,0.03977272727272727,0.23863636363636365,0.7073863636363636
1980s,0.007194244604316547,0.014388489208633094,0.050359712230215826,0.29256594724220625,0.6354916067146283
1990s,0.008565310492505354,0.019271948608137045,0.07922912205567452,0.3511777301927195,0.5417558886509636
2000s,0.007621951219512195,0.009146341463414634,0.08384146341463415,0.32164634146341464,0.5777439024390244
2010s,0.0128,0.0112,0.1024,0.3616,0.512
